round,our_score,their_score,our_status,their_status,our_turns,their_turns,our_ants,their_ants,in_hive?
on: ../tools/maps/cell_maze/cell_maze_p02_20.map
0,3,0,survived,survived,221,221,77,22,0
1,3,0,survived,survived,222,222,67,30,0
2,3,0,survived,survived,262,262,62,48,0
3,3,0,survived,survived,216,216,97,46,0
4,3,0,survived,survived,217,217,96,53,0
5,3,0,survived,survived,244,244,51,21,0
6,3,0,survived,survived,227,227,62,18,0
7,3,0,survived,survived,278,278,47,33,0
8,3,0,survived,survived,277,277,106,79,0
9,3,0,survived,survived,222,222,69,23,0
on: ../tools/maps/maze/maze_p02_31.map
0,8,2,survived,survived,147,147,16,8,0
1,9,0,survived,survived,160,160,12,14,0
2,8,2,survived,survived,211,211,34,8,0
3,8,2,survived,survived,205,205,35,14,0
4,8,2,survived,survived,121,121,10,8,0
5,9,0,survived,survived,220,220,39,6,0
6,8,2,survived,survived,114,114,19,10,0
7,8,2,survived,survived,232,232,47,11,0
8,9,0,survived,survived,161,161,22,8,0
9,9,0,survived,survived,201,201,49,9,0
on: ../tools/maps/random_walk/random_walk_p02_21.map
0,3,0,survived,survived,267,267,33,25,0
1,3,0,survived,survived,231,231,46,42,0
2,3,0,survived,survived,234,234,57,39,0
3,3,0,survived,survived,195,195,34,33,0
4,3,0,survived,survived,228,228,44,39,0
5,3,0,survived,survived,198,198,58,38,0
6,3,0,survived,survived,158,158,53,33,0
7,3,0,survived,survived,185,185,37,32,0
8,3,0,survived,survived,285,285,61,28,0
9,3,0,survived,survived,272,272,29,23,0
